timestamp,AccX min,AccX max,AccX mean,AccX median,AccX std,"AccX min 
previous 1","AccX min 
previous 2","AccX max 
previous 1","AccX max 
previous 2","AccX mean 
previous 1","AccX mean 
previous 2","AccX median 
previous 1","AccX median 
previous 2","AccX std 
previous 1","AccX std 
previous 2"
15/04/2021 17:30,-11.57,39.03,4.01,2.61,8.80,-8.21,-20.74,48.51,42.56,4.59,4.39,2.52,2.68,9.73,9.68
15/04/2021 17:30,-8.88,54.70,4.89,2.31,10.65,-11.57,-8.21,39.03,48.51,4.01,4.59,2.61,2.52,8.80,9.73
15/04/2021 17:30,-9.79,33.10,3.71,2.68,7.89,-8.88,-11.57,54.70,39.03,4.89,4.01,2.31,2.61,10.65,8.80
15/04/2021 17:30,-13.54,22.49,2.71,1.49,7.11,-9.79,-8.88,33.10,54.70,3.71,4.89,2.68,2.31,7.89,10.65
15/04/2021 17:30,-10.32,44.61,3.96,3.07,8.31,-13.54,-9.79,22.49,33.10,2.71,3.71,1.49,2.68,7.11,7.89
